[W],Samstag Winter,Sonntag Winter,Werktag Winter,Samstag Sommer,Sonntag Sommer,Werktag Sommer,Samstag Übergang,Sonntag Übergang,Werktag Übergang
00:15,95.3,87.8,94.7,99,94.6,98.5,92.5,87.6,91.2
00:30,95.5,88.3,94.1,100,95.3,99,93,87.3,90.2
00:45,96.2,89,94.1,100.9,96,99.4,93.7,87.4,89.4
01:00,97.4,90.1,95,101,96.2,99.2,94.3,87.7,88.9
01:15,98.9,91.3,96.6,99.8,95.3,98.1,94.5,88,88.7
01:30,100.3,92.4,98.4,97.9,93.9,96.4,94.5,88.4,88.8
01:45,101,92.9,99.8,95.8,92.4,94.8,94.3,88.9,89.1
02:00,100.4,92.5,99.8,94.3,91.3,93.7,94.3,89.5,89.5
02:15,98.2,91,98,94,91.1,93.6,94.7,90.3,90
02:30,95.1,88.7,95.1,94.3,91.5,94.1,95,91,90.3
02:45,91.9,86.4,91.9,94.8,92.1,94.7,95,91.2,90.2
03:00,89.5,84.7,89.5,95,92.5,95,94.3,90.7,89.5
03:15,88.6,84,88.4,94.3,92.4,94.4,92.7,89.2,88
03:30,88.6,84,88.3,93.1,91.9,93.3,90.6,87.2,86.1
03:45,88.7,84,88.3,91.7,91.2,92.2,88.3,85.1,84
04:00,88.3,83.5,87.7,90.7,90.7,91.3,86.5,83.5,82.3
04:15,86.8,82.1,86.1,90.3,90.5,91,85.4,82.7,81.1
04:30,85.1,80.6,84.3,90.2,90.4,91.1,85.1,82.7,80.5
04:45,84.2,80.1,83.5,90.1,90.1,91.1,85.1,83.1,80.4
05:00,85.3,81.6,84.7,89.5,89.5,90.7,85.3,83.5,80.4
05:15,89,85.9,88.5,88.2,88.5,89.8,85.4,83.7,80.7
05:30,94.1,91.6,94,87,87.7,89,85.8,84,81.3
05:45,99.3,97,99.5,86.7,88.2,89.2,86.9,84.8,82.5
06:00,102.8,100.4,103.4,88.3,90.7,91.3,88.9,86.5,84.7
06:15,103.7,100.7,104.7,92.2,95.8,95.9,92.1,89.2,87.9
06:30,102.6,98.8,104,97.3,102,101.6,95.7,92.4,91.6
06:45,100.7,96.2,102.4,102.2,107.6,106.9,99,95.4,95.2
07:00,99.2,94.3,101,105.2,110.7,110.1,101,97.4,98
07:15,99.1,94.4,100.8,105.5,110,110.1,101.3,97.9,99.6
07:30,100.8,95.7,102.1,104.6,106.9,108.4,101.1,97.6,100.9
07:45,104.4,97.6,105.3,104.6,103.1,107.1,102.3,97.3,102.8
08:00,110.1,99.2,110.7,107.7,100.4,108.3,106.4,98,106.4
08:15,117.7,99.7,118.2,115,100.2,113.3,114.6,100.1,112.4
08:30,126.1,99.6,126.7,125,101.8,120.8,124.9,102.9,119.5
08:45,133.9,99.2,134.7,134.9,104,128.9,134.7,105.4,126.3
09:00,139.7,99.2,140.9,142.1,105.8,135.5,141.5,106.4,131.2
09:15,142.4,99.8,144.2,144.9,106.3,139.1,143.4,105.4,133.3
09:30,142.9,100.9,145.4,144.1,105.8,140.3,141.8,102.9,133.2
09:45,142.4,102.1,145.5,141.8,104.8,140.3,138.6,99.9,132.1
10:00,142.1,102.8,145.8,139.7,104,140.3,136.1,97.4,131.2
10:15,142.9,102.9,147,139.2,103.8,141.1,135.7,96.1,131.5
10:30,144.5,102.5,149,140,104.1,142.5,137.1,95.9,132.8
10:45,146.3,101.8,151.2,141.4,104.5,144,139.3,96.3,134.7
11:00,147.6,101,153,142.7,104.6,145.1,141.5,96.8,136.7
11:15,147.9,100.4,154,143.4,104.4,145.7,143,96.9,138.4
11:30,147.5,100,154.3,143.7,104,145.8,143.6,96.8,139.7
11:45,146.8,99.8,154.3,143.7,103.9,145.9,143.7,96.6,140.6
12:00,146.4,99.8,154.2,143.9,104.6,146.4,143.3,96.2,140.9
12:15,146.3,100,154.3,144.5,106.3,147.4,142.7,95.7,140.7
12:30,146.5,100.5,154.5,145,108.3,148.6,141.8,95.4,140
12:45,146.2,101,154.3,145,110.1,149.1,140.8,95.1,139
13:00,145.1,101.6,153.6,143.9,110.7,148.2,139.7,95,137.9
13:15,142.8,102.2,152.2,141.5,109.7,145.4,138.4,95,136.8
13:30,139.3,102.4,149.9,137.8,107.5,141.4,136.8,95.3,135.9
13:45,134.6,102.1,147,133.3,105,137.2,134.5,95.6,135
14:00,128.8,101,143.3,128.2,102.8,133.7,131.2,96.2,134.3
14:15,122.3,98.9,139.2,123,101.5,131.5,126.9,96.7,133.7
14:30,115.5,96.3,135.2,118.2,101,130.7,121.9,97.3,133.3
14:45,109.4,93.8,132.1,114.1,100.9,130.9,117.1,97.5,133.1
15:00,104.6,91.9,130.6,111.3,101,131.8,113.1,97.4,133.1
15:15,101.8,91.1,131.3,110,100.9,133.3,110.4,96.7,133.2
15:30,100.5,91.2,133.5,110,100.8,135,108.6,95.8,133.4
15:45,100.2,91.8,136.2,110.6,100.6,136.6,107.5,94.9,133.6
16:00,100.4,92.5,138.5,111.3,100.4,137.9,106.4,94.3,133.7
16:15,100.6,93.1,139.8,111.7,100.3,138.6,105.2,94.4,133.4
16:30,101,93.4,140.3,111.9,100.2,139,104.1,95,133.1
16:45,101.9,93.6,140.5,112.1,100.3,139.2,103.5,95.9,132.9
17:00,103.4,93.7,140.9,112.5,100.4,139.7,104,96.8,133.1
17:15,105.8,93.9,142,113.2,100.5,140.6,105.8,97.6,133.6
17:30,108.7,94.3,143.7,113.9,100.7,141.6,108.1,98.2,134.5
17:45,111.5,95.2,145.8,114.2,100.6,142.4,110.2,98.8,135.6
18:00,113.7,96.8,148.2,113.7,100.4,142.7,111.3,99.2,136.7
18:15,115,99.1,150.6,112.1,99.9,142.3,110.7,99.5,137.6
18:30,115.7,102.2,152.5,110.2,99.7,141.3,109,99.9,138
18:45,116.3,105.7,153.3,109,100.2,139.9,107.1,100.5,137.6
19:00,117.3,109.5,152.4,109.5,102.2,138.5,105.8,101.6,136.1
19:15,119,113.2,149.3,112.2,105.9,137.2,105.9,103.2,133.2
19:30,120.6,116.3,144.4,116.2,110.3,135.9,107,105.2,129.6
19:45,121.4,117.9,138.4,120.2,114.5,134.3,108.7,107.4,126.1
20:00,120.4,117.3,131.8,122.8,117.3,132.4,110.7,109.5,123.4
20:15,117,114.2,125.3,123,117.9,130,112.4,111.2,122.1
20:30,112.1,109.4,119.3,121.2,116.5,127.2,113.5,112.4,121.6
20:45,106.8,104.2,114.3,118.3,113.9,124.1,113.9,112.5,121.1
21:00,102.2,99.8,110.7,114.9,110.7,121,113.1,111.3,119.7
21:15,99.2,97.1,108.8,111.7,107.4,117.8,111.1,108.5,117
21:30,97.4,95.9,108.1,108.9,104.4,114.9,108.3,104.8,113.3
21:45,96.4,95.4,108,106.5,101.8,112.2,105.1,100.8,109.4
22:00,95.6,95,107.7,104.6,99.8,110.1,102.2,97.4,105.8
22:15,94.5,94.1,106.6,103.2,98.5,108.5,99.9,95,103.2
22:30,93.3,92.8,104.9,102.1,97.6,107.2,98.1,93.5,101.3
22:45,92,91.2,103,101.1,96.8,106,96.5,92.4,99.9
23:00,90.7,89.5,101,99.8,95.6,104.6,95,91.3,98.6
23:15,89.6,87.8,99.3,98.2,93.8,102.9,93.1,89.9,97.1
23:30,88.6,86.4,97.8,96.4,91.9,101.1,91.3,88.4,95.6
23:45,88,85.7,96.6,95,90.7,99.5,89.6,87.2,94
00:00,87.7,85.9,95.6,94.3,90.7,98.6,88.3,86.5,92.5
,Viertelstunden-Leistungswerte für den Jahresverbrauch von 1.000 kWh/a,,,,,,,,
