FID,OBJECTID,SHAPE,BEZ,ADRESSE,TYP,ART,ELEKTR_BRU,ENERGIEQUE,STROM_GWH,THERM_BRUT,WAERME_GWH,EAID,LSTG_GRA,SE_ANNO_CAD_DATA
ENSONSTANLOGD.32362,32362,POINT (16.42832937631812 48.26788589376598),1210,Siemensstraße,SK,Spar Siemensstraße,0.08033,Sonne,,0,,94916,0.08033,
ENSONSTANLOGD.32363,32363,POINT (16.437439200606118 48.17604208519002),1110,Haidestraße,SK,LGV-Frischgemüse II,0.555,Sonne,,0,,94915,0.555,
ENSONSTANLOGD.32364,32364,POINT (16.437439200606118 48.17604208519002),1110,Haidestraße,SK,LGV-Frischgemüse,0.3,Sonne,,0,,94914,0.3,
ENSONSTANLOGD.32365,32365,POINT (16.441676266903077 48.15403071753704),1110,Simmeringer Hauptstraße,SK,Simmering Zentralfriedhof Tor 3,0.49,Sonne,,0,,94913,0.49,
ENSONSTANLOGD.32366,32366,POINT (16.31048502031303 48.12928579161831),1230,Porschestraße,SK,WiPark Park&Ride Siebenhirten,0.132,Sonne,,0,,94912,0.132,
ENSONSTANLOGD.32367,32367,POINT (16.428212184565314 48.28031936299334),1210,Katharina-Scheiter-Gasse,SK,Leopoldau Gasspeicher,0.48,Sonne,,0,,94911,0.48,
ENSONSTANLOGD.32368,32368,POINT (16.36563284805225 48.14148234129435),1230,Rosiwalgasse,SK,Liesing II Fernheizwerk Süd,0.494,Sonne,,0,,94910,0.494,
ENSONSTANLOGD.32369,32369,POINT (16.367659331697965 48.141143294787085),1230,Rosiwalgasse,SK,Liesing Fernheizwerk Süd,0.5,Sonne,,0,,94909,0.5,
ENSONSTANLOGD.32370,32370,POINT (16.23657680292804 48.200705834048485),1130,Hofjagdstraße,SK,Hietzing Umspannwerk West,0.1345,Sonne,,0,,94908,0.1345,
ENSONSTANLOGD.32371,32371,POINT (16.460904452072747 48.201473194895414),1220,Primavesigasse,SK,Kraftwerk Wien Donaustadt,0.5,Sonne,,0,,94907,0.5,
ENSONSTANLOGD.32372,32372,POINT (16.385540199221666 48.20702031723557),1030,Landstraßer Haupstraße,SK,Wien Mitte The Mall,0.356,Sonne,,0,,94906,0.356,
ENSONSTANLOGD.32373,32373,POINT (16.372277111416267 48.16550207459344),1100,Ettenreichgasse,SK,HTL Wien 10,0.25525,Sonne,,0,,94905,0.25525,
ENSONSTANLOGD.32374,32374,POINT (16.350722253976794 48.170109676631014),1100,Wienerberg,WA,Wienerberg,0.065,Wasser,,0,,94904,0.065,
ENSONSTANLOGD.32375,32375,POINT (16.455557658143892 48.19566639608287),1220,Steinspornbrücke,WK,Windkraftanlage Donauinsel (Steinspornbrücke),0.225,Wind,,0,,94903,0.225,
ENSONSTANLOGD.32376,32376,POINT (16.479762076850136 48.1760333889715),1020,Am Prater Spitz,WA,Wasserkraftwerk Freudenau,172,Wasser,,0,,94902,172,
ENSONSTANLOGD.32377,32377,POINT (16.412023778006215 48.123405558815264),1100,Unterlaa Ost,WK,Windpark Unterlaa Ost,4,Wind,,0,,94901,4,
ENSONSTANLOGD.32378,32378,POINT (16.52074182594697 48.262110754640744),1220,Breitenlee,WK,Windpark Breitenlee,2.55,Wind,,0,,94900,2.55,
ENSONSTANLOGD.32379,32379,POINT (16.48551118909164 48.258244728369405),1220,Rautenweg,BM,Deponiegasanlage Rautenweg,0.659,Deponiegas,,0,,94899,0.659,
ENSONSTANLOGD.32380,32380,POINT (16.26018121364393 48.160059633203254),1230,Wittgensteinstraße,WA,Mauer,0.5,Wasser,,0,,94898,0.5,
ENSONSTANLOGD.32381,32381,POINT (16.43346143653474 48.185528696563395),1110,1. Haidequerstraße,WA,Kleinwasserkraftwerk Haidequerstraße,0.895,Wasser,,0,,94897,0.895,
ENSONSTANLOGD.32382,32382,POINT (16.36918050646469 48.25921724211524),1200,Josef-von-Schemmerl-Brücke,WA,Kleinwasserkraftwerk Nußdorf,4.75,Wasser,,0,,94896,4.75,
ENSONSTANLOGD.32383,32383,POINT (16.46106972250966 48.17595550251551),1110,Johann Petrak Gasse,MV,Müllverbrennungsanlage Pfaffenau,14,Hausmüll,,50,,94895,64,
ENSONSTANLOGD.32384,32384,POINT (16.360090217386354 48.23344486830592),1090,Spittelauer Lände,MV,Müllverbrennungsanlage Spittelau,6,Hausmüll,,60,,94894,66,
ENSONSTANLOGD.32385,32385,POINT (16.289856037752696 48.206813675420634),1160,Flötzersteig,MV,Müllverbrennungsanlage Flötzersteig,0,Hausmüll,,45,,94893,45,
ENSONSTANLOGD.32386,32386,POINT (16.43208309991276 48.185381378263344),1110,1. Haidequerstraße,BM,Biomasse Simmering,16,Biomasse,,37,,94892,53,
ENSONSTANLOGD.31744,31744,POINT (16.463988943872486 48.18502438385203),1020,"Rechter Donaudamm, Hafen Wien",WK,Windkraftwerk Freudenau,0.6,Wind,,0,,94926,0.6,
ENSONSTANLOGD.32353,32353,POINT (16.314575879473452 48.23033761666045),1170,Schafberg,WA,Schafberg,0.1,Wasser,,0,,94925,0.1,
ENSONSTANLOGD.32354,32354,POINT (16.46126937082773 48.17351596109027),1110,11.Haidequerstraße,MV,Sonderabfall- und Klärschlammverbrennung Simmeringer Haide,9,Industrieabfall,,75,,94924,84,
ENSONSTANLOGD.32355,32355,POINT (16.43375476435015 48.276610542915435),1210,Petritschgasse,GA,Fernheizwerk Leopoldau,0,Erdgas,,230,,94923,230,
ENSONSTANLOGD.32356,32356,POINT (16.453624429052912 48.23520451168885),1220,Skrabalgasse,GA,Fernheizwerk Kagran,0,Erdgas,,200,,94922,200,
ENSONSTANLOGD.32357,32357,POINT (16.36840227983165 48.13968644595106),1230,Rosiwalgasse,GA,Fernheizwerk Inzersdorf,0,Erdgas,,340,,94921,340,
ENSONSTANLOGD.32358,32358,POINT (16.39914640452998 48.18114606548937),1030,Arsenal,GA,Fernheizwerk Arsenal,0,Erdgas,,340,,94920,340,
ENSONSTANLOGD.32359,32359,POINT (16.43525736770728 48.181918632583645),1110,1. Haidequerstraße,GA,Kraftwerk Simmering,443,Erdgas,,630,,94919,1073,
ENSONSTANLOGD.32360,32360,POINT (16.46315276112342 48.19906990883389),1220,Steinspornweg/Primavesig.,GA,Kraftwerk Donaustadt,347,Erdgas,,250,,94918,597,
ENSONSTANLOGD.32361,32361,POINT (16.44791263043674 48.25689055229174),1220,Rennbahnweg,SK,Spar Wagramer Straße,0.0969,Sonne,,0,,94917,0.0969,
